              0        2038.28          15004          14994        15001.8        15002.1
       0.828996        1940.05        14620.8        14575.2        13171.5          14830
        1.64948        1861.58        14426.4        13994.3        11706.7        14692.9
        2.44071        1815.94        14436.5        13403.7        10868.3          14606
        3.20948        1789.34        14522.4        12895.4        10400.3        14548.9
        3.99251        1767.72          14638        12386.7        10037.3        14492.6
        4.78971        1749.68        14763.7        11898.2        9751.26        14444.3
        5.56972        1733.65          14884        11442.3        9507.34        14385.5
        6.34955        1719.71        14979.1        11055.1        9307.07        14319.8
        7.13092        1706.69        15064.1          10694        9129.39        14254.7
         7.9106        1694.34        15132.3          10370        8965.63        14184.8
        8.69222        1682.48        15185.3        10074.8        8816.59        14112.5
        9.47604        1671.11        15225.5        9807.95        8677.32        14036.9
        10.2603        1660.15        15253.7        9566.74        8546.31        13954.8
        11.0428        1649.49        15272.4        9341.56        8426.98        13873.4
        11.8265        1639.11        15273.6        9149.89        8313.29        13788.4
        12.6099        1629.14        15271.1        8970.31        8206.32          13701
        13.3933        1619.59          15265        8803.59        8105.48        13616.3
         14.177        1610.22        15252.5        8647.95        8011.03        13534.4
        14.9602        1601.14          15229        8514.85        7922.12        13443.8
        15.7456        1592.43        15207.6        8385.12        7836.85        13357.1
        16.5295        1584.38        15181.9        8275.13        7758.53        13273.6
        17.3103        1576.21          15155        8162.29        7682.08        13190.9
        18.0761        1568.59        15122.4         8069.3        7611.86        13109.1
         18.863        1560.55        15085.5        7975.72        7536.85        13020.3
        19.6454        1553.03        15047.3        7893.38        7468.27        12934.1
        20.4285         1545.8        15009.3        7815.51        7404.47        12845.8
        21.2107        1538.69        14965.4        7747.83        7344.55        12759.7
        21.9918        1531.76        14922.2        7683.49           7284        12675.8
        22.7726        1525.08        14879.4        7623.14        7226.77        12588.9
        23.5564        1518.59        14837.8         7565.2        7169.34        12504.2
         24.335        1512.23        14792.6        7513.68        7116.94        12417.8
        25.1172        1506.03        14748.4        7463.74        7065.68        12332.5
         25.894        1499.98          14703        7418.28        7016.44        12250.4
        26.6748        1494.05        14658.4        7373.96         6967.4          12169
        27.4566        1488.33        14616.2        7330.49        6919.62        12083.6
        28.2369        1482.58        14566.8         7296.6        6874.01        12001.3
        29.0139        1477.09        14522.9        7259.25        6829.53        11926.6
        29.7919        1471.75          14478        7225.66        6787.71        11847.8
        30.5696        1466.37        14430.6        7193.77        6747.91        11774.2
        31.3513        1461.15          14385        7162.95        6708.61        11698.5
        32.1258        1455.87        14338.5         7132.9        6667.89          11617
        32.9006        1450.87        14292.2        7107.84        6629.39        11542.5
        33.6764        1446.03        14248.7        7081.42        6591.55        11470.6
        34.4514        1441.21        14202.6        7059.43        6554.78        11397.2
        35.2268        1436.52        14159.7        7034.64        6518.79        11326.8
        36.0004        1431.91        14116.6        7011.53        6483.62        11256.7
        36.7753        1427.37        14072.1        6993.22        6447.22        11186.1
        37.5498        1422.87        14028.1        6972.95        6414.82        11116.4
        38.3263        1418.46        13984.6        6953.97        6382.17        11045.7
        39.0989         1414.1          13938        6941.29        6349.39        10978.1
        39.8907        1409.84        13895.5        6923.82        6317.23          10914
        40.6625        1405.71          13854        6907.29        6286.57        10847.7
        41.4347        1401.61        13817.1        6883.27        6256.25        10782.6
        42.2076        1397.53        13775.8        6866.81        6226.24        10716.9
        42.9796        1393.49        13734.4        6851.41        6196.58        10653.7
        43.7524        1389.38        13692.6        6834.92        6166.61        10592.6
        44.5224        1385.48        13649.6        6824.32        6138.87        10529.3
        45.2943        1381.62        13609.5        6810.33        6110.68        10466.2
         46.066        1377.81        13568.5        6798.65        6082.75        10403.5
        46.8359        1374.05        13529.2        6785.53        6054.04        10343.6
        47.6047        1370.31        13486.4        6777.79        6027.47        10283.1
        48.3757        1366.64        13448.1        6764.41        6000.06        10223.5
        49.1458        1363.05        13410.2        6751.73        5974.19        10165.4
        49.9117        1359.49        13373.1         6738.3        5948.28        10108.6
         50.681        1355.98        13335.3         6726.4        5923.53        10051.8
        51.4499        1352.47        13299.3        6712.21        5897.93        9995.25
        52.2212        1348.98        13260.5        6702.67        5872.94        9940.43
        52.9917        1345.53        13220.3        6695.82        5848.61        9883.63
        53.7605        1342.12        13182.4        6686.37        5824.03        9829.18
        54.5301         1338.7        13142.9        6679.25        5799.62        9776.44
        55.2981        1335.26        13101.7        6674.84        5773.82        9726.54
        56.0682        1331.86        13063.4        6665.58        5749.92        9673.84
        56.8369        1328.53        13025.8        6656.92        5726.37        9622.04
        57.6043        1325.25        12987.7        6650.24        5702.67        9570.41
        58.3699        1321.98        12947.4        6647.07        5679.39        9520.36
         59.138        1318.81        12913.3         6636.3        5655.24        9470.63
        59.9066        1315.62        12874.8        6631.72        5632.98        9419.23
         60.672        1312.42        12837.1        6625.32        5610.44        9371.15
        61.4382        1309.19        12799.6        6617.92        5588.22        9322.38
        62.2027        1305.96          12761        6611.54         5567.2        9273.64
        62.9683        1302.78        12723.4        6604.79        5546.25        9224.47
        63.7382        1299.64        12687.2        6596.89        5524.32        9180.26
        64.5083        1296.55        12650.5        6590.98        5502.46        9133.72
        65.2748        1293.43        12615.7        6581.01        5481.24        9090.38
        66.0439        1290.38          12580        6574.01        5460.62        9043.82
        66.8115        1287.24        12541.7        6568.94        5439.61        9001.22
        67.5782        1284.14        12504.3        6563.84        5417.91           8957
        68.3432        1281.07        12467.3         6558.4        5396.46        8915.49
        69.1117        1278.13        12432.6        6551.83        5376.17        8871.55
        69.8785         1275.2        12397.4        6546.81        5354.96        8828.07
        70.6448        1272.24          12361         6542.4        5334.85        8785.87
